Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,Functional_variable
?b  mother  ?a   ,?a  child  ?b,0.130732736,0.464419476,0.67027027,248,534,370,?b
?b  predecessor  ?a   ,?a  child  ?b,0.108065366,0.435244161,0.569444444,205,471,360,?b
?a  successor  ?b   ,?a  child  ?b,0.108065366,0.435244161,0.569444444,205,471,360,?b
?b  parent  ?a   ,?a  child  ?b,0.292567211,0.447941889,0.713367609,555,1239,778,?b
?b  father  ?a   ,?a  child  ?b,0.159198735,0.458966565,0.766497462,302,658,394,?b
?a  name  ?f  ?b  predecessor  ?f   ,?a  successor  ?b,0.044585987,0.807692308,0.807692308,21,26,26,?a
?b  predecessor  ?f  ?a  spouse  ?f   ,?a  successor  ?b,0.055201699,0.053941909,0.234234234,26,482,111,?a
?f  name  ?a  ?b  predecessor  ?f   ,?a  successor  ?b,0.044585987,0.071428571,0.954545455,21,294,22,?a
?b  predecessor  ?f  ?f  spouse  ?a   ,?a  successor  ?b,0.055201699,0.053941909,0.234234234,26,482,111,?a
?f  mother  ?a  ?b  successor  ?f   ,?a  successor  ?b,0.012738854,0.019047619,0.12,6,315,50,?a
?f  father  ?a  ?b  successor  ?f   ,?a  successor  ?b,0.072186837,0.098265896,0.114864865,34,346,296,?a
?f  parent  ?a  ?b  successor  ?f   ,?a  successor  ?b,0.089171975,0.061674009,0.117647059,42,681,357,?a
?f  father  ?a  ?b  name  ?f   ,?a  successor  ?b,0.01910828,0.082568807,0.230769231,9,109,39,?a
?b  mother  ?f  ?a  predecessor  ?f   ,?a  successor  ?b,0.012738854,0.098360656,0.12,6,61,50,?a
?b  name  ?f  ?f  predecessor  ?a   ,?a  successor  ?b,0.042462845,0.833333333,0.833333333,20,24,24,?a
?b  mother  ?f  ?f  successor  ?a   ,?a  successor  ?b,0.012738854,0.098360656,0.12,6,61,50,?a
?b  name  ?f  ?f  parent  ?a   ,?a  successor  ?b,0.01910828,0.045226131,0.204545455,9,199,44,?a
?b  name  ?f  ?a  successor  ?f   ,?a  successor  ?b,0.042462845,0.833333333,0.833333333,20,24,24,?a
?f  marriedTo  ?a  ?b  parent  ?f   ,?a  successor  ?b,0.010615711,0.263157895,0.833333333,5,19,6,?a
?b  mother  ?f  ?a  spouse  ?f   ,?a  successor  ?b,0.305732484,0.258527828,0.458598726,144,557,314,?a
?b  mother  ?f  ?f  spouse  ?a   ,?a  successor  ?b,0.305732484,0.258064516,0.458598726,144,558,314,?a
?a  marriedTo  ?f  ?b  parent  ?f   ,?a  successor  ?b,0.010615711,0.25,0.833333333,5,20,6,?a
?b  parent  ?f  ?f  successor  ?a   ,?a  successor  ?b,0.08492569,0.084566596,0.106951872,40,473,374,?a
?a  child  ?f  ?b  successor  ?f   ,?a  successor  ?b,0.08492569,0.080645161,0.1179941,40,496,339,?a
?f  name  ?a  ?b  parent  ?f   ,?a  successor  ?b,0.014861996,0.009485095,0.388888889,7,738,18,?a
?b  parent  ?f  ?a  predecessor  ?f   ,?a  successor  ?b,0.08492569,0.084566596,0.106951872,40,473,374,?a
?b  father  ?f  ?f  name  ?a   ,?a  successor  ?b,0.012738854,0.012875536,0.5,6,466,12,?a
?b  father  ?f  ?f  successor  ?a   ,?a  successor  ?b,0.072186837,0.08056872,0.101492537,34,422,335,?a
?a  name  ?f  ?b  parent  ?f   ,?a  successor  ?b,0.014861996,0.046357616,0.368421053,7,151,19,?a
?b  father  ?f  ?a  name  ?f   ,?a  successor  ?b,0.012738854,0.214285714,0.461538462,6,28,13,?a
?b  father  ?f  ?a  predecessor  ?f   ,?a  successor  ?b,0.072186837,0.08056872,0.101492537,34,422,335,?a
?b  father  ?f  ?a  spouse  ?f   ,?a  successor  ?b,0.038216561,0.026587888,0.268656716,18,677,67,?a
?b  parent  ?f  ?f  spouse  ?a   ,?a  successor  ?b,0.354564756,0.133814103,0.432642487,167,1248,386,?a
?a  name  ?f  ?f  successor  ?b   ,?a  successor  ?b,0.044585987,0.807692308,0.807692308,21,26,26,?a
?a  spouse  ?f  ?f  successor  ?b   ,?a  successor  ?b,0.055201699,0.053941909,0.234234234,26,482,111,?a
?f  child  ?b  ?a  name  ?f   ,?a  successor  ?b,0.016985138,0.025157233,0.137931034,8,318,58,?a
?b  parent  ?f  ?a  spouse  ?f   ,?a  successor  ?b,0.354564756,0.133921411,0.432642487,167,1247,386,?a
?e  name  ?a  ?e  successor  ?b   ,?a  successor  ?b,0.044585987,0.071428571,0.954545455,21,294,22,?a
?b  father  ?f  ?f  spouse  ?a   ,?a  successor  ?b,0.038216561,0.026587888,0.268656716,18,677,67,?a
?e  spouse  ?a  ?e  successor  ?b   ,?a  successor  ?b,0.055201699,0.053941909,0.234234234,26,482,111,?a
?e  father  ?b  ?e  mother  ?a   ,?a  successor  ?b,0.010615711,0.011682243,0.15625,5,428,32,?a
?e  child  ?b  ?e  name  ?a   ,?a  successor  ?b,0.016985138,0.005184705,0.133333333,8,1543,60,?a
?e  mother  ?a  ?e  predecessor  ?b   ,?a  successor  ?b,0.012738854,0.019047619,0.12,6,315,50,?a
?e  father  ?a  ?e  predecessor  ?b   ,?a  successor  ?b,0.072186837,0.098265896,0.114864865,34,346,296,?a
?e  parent  ?a  ?e  predecessor  ?b   ,?a  successor  ?b,0.089171975,0.061674009,0.117647059,42,681,357,?a
?f  name  ?a  ?b  name  ?f   ,?a  name  ?b,0.193958665,0.976,1,122,125,122,?a
?a  child  ?f  ?f  predecessor  ?b   ,?a  successor  ?b,0.08492569,0.080645161,0.1179941,40,496,339,?a
?a  name  ?f  ?b  name  ?f   ,?a  name  ?b,0.193958665,0.14235706,0.14235706,122,857,857,?a
?f  child  ?b  ?a  spouse  ?f   ,?a  successor  ?b,0.237791932,0.047058824,0.153635117,112,2380,729,?a
?a  father  ?f  ?b  parent  ?f   ,?a  name  ?b,0.170111288,0.11053719,0.130012151,107,968,823,?a
?a  father  ?f  ?b  father  ?f   ,?a  name  ?b,0.170111288,0.111226611,0.130806846,107,962,818,?a
?b  child  ?f  ?f  mother  ?a   ,?a  name  ?b,0.090620032,0.148825065,0.265116279,57,383,215,?a
?a  parent  ?f  ?b  parent  ?f   ,?a  name  ?b,0.178060413,0.112224449,0.131609871,112,998,851,?a
?b  child  ?f  ?f  parent  ?a   ,?a  name  ?b,0.104928458,0.083544304,0.12890625,66,790,512,?a
?b  father  ?f  ?a  parent  ?f   ,?a  name  ?b,0.170111288,0.11053719,0.129854369,107,968,824,?a
?a  spouse  ?f  ?b  spouse  ?f   ,?a  name  ?b,0.170111288,0.076978417,0.156661786,107,1390,683,?a
?f  spouse  ?a  ?b  spouse  ?f   ,?a  name  ?b,0.170111288,0.077033837,0.156891496,107,1389,682,?a
?e  child  ?b  ?e  spouse  ?a   ,?a  successor  ?b,0.237791932,0.047058824,0.153635117,112,2380,729,?a
?b  mother  ?f  ?a  parent  ?f   ,?a  name  ?b,0.122416534,0.096733668,0.115269461,77,796,668,?a
?f  child  ?a  ?b  mother  ?f   ,?a  name  ?b,0.066772655,0.032282859,0.113821138,42,1301,369,?a
?a  mother  ?f  ?b  parent  ?f   ,?a  name  ?b,0.122416534,0.096733668,0.11509716,77,796,669,?a
?f  spouse  ?b  ?a  spouse  ?f   ,?a  name  ?b,0.170111288,0.077033837,0.156891496,107,1389,682,?a
?a  child  ?f  ?f  mother  ?b   ,?a  name  ?b,0.090620032,0.148825065,0.181528662,57,383,314,?a
?a  child  ?f  ?f  parent  ?b   ,?a  name  ?b,0.104928458,0.083544304,0.100917431,66,790,654,?a
?e  mother  ?a  ?e  parent  ?b   ,?a  name  ?b,0.13990461,0.100801833,0.214111922,88,873,411,?a
?e  parent  ?a  ?e  parent  ?b   ,?a  name  ?b,0.176470588,0.057246003,0.102682701,111,1939,1081,?a
?f  name  ?b  ?a  name  ?f   ,?a  name  ?b,0.19872814,1,1,125,125,125,?a
?e  name  ?a  ?e  name  ?b   ,?a  name  ?b,0.19872814,0.218914186,1,125,571,125,?a
?e  mother  ?a  ?e  mother  ?b   ,?a  name  ?b,0.13990461,0.202298851,0.429268293,88,435,205,?a
?f  child  ?a  ?b  marriedTo  ?f   ,?a  mother  ?b,0.011235955,0.101694915,0.4,6,59,15,?a
?a  father  ?f  ?b  marriedTo  ?f   ,?a  mother  ?b,0.011235955,0.666666667,0.666666667,6,9,9,?a
?b  marriedTo  ?f  ?a  parent  ?f   ,?a  mother  ?b,0.011235955,0.3,0.3,6,20,20,?a
?e  spouse  ?a  ?e  spouse  ?b   ,?a  name  ?b,0.170111288,0.076978417,0.156661786,107,1390,683,?a
?a  child  ?f  ?b  child  ?f   ,?a  name  ?b,0.109697933,0.103448276,0.128971963,69,667,535,?a
?e  mother  ?b  ?e  parent  ?a   ,?a  name  ?b,0.13990461,0.100801833,0.178137652,88,873,494,?a
?a  predecessor  ?f  ?b  spouse  ?f   ,?a  mother  ?b,0.269662921,0.298755187,0.452830189,144,482,318,?a
?a  father  ?f  ?b  spouse  ?f   ,?a  mother  ?b,0.923220974,0.728212703,0.757296467,493,677,651,?a
?a  mother  ?f  ?b  mother  ?f   ,?a  name  ?b,0.122416534,0.097468354,0.115789474,77,790,665,?a
?b  spouse  ?f  ?f  successor  ?a   ,?a  mother  ?b,0.269662921,0.298755187,0.452830189,144,482,318,?a
?f  child  ?a  ?b  name  ?f   ,?a  mother  ?b,0.15917603,0.267295597,0.885416667,85,318,96,?a
?b  name  ?f  ?a  parent  ?f   ,?a  mother  ?b,0.224719101,0.794701987,0.863309353,120,151,139,?a
?f  child  ?a  ?b  spouse  ?f   ,?a  mother  ?b,0.509363296,0.114285714,0.393632417,272,2380,691,?a
?b  child  ?f  ?f  name  ?a   ,?a  mother  ?b,0.078651685,0.090712743,0.591549296,42,463,71,?a
?b  child  ?f  ?a  name  ?f   ,?a  mother  ?b,0.078651685,0.5,0.545454545,42,84,77,?a
?f  marriedTo  ?b  ?a  parent  ?f   ,?a  mother  ?b,0.013108614,0.368421053,0.368421053,7,19,19,?a
?a  father  ?f  ?f  marriedTo  ?b   ,?a  mother  ?b,0.013108614,0.777777778,0.777777778,7,9,9,?a
?e  child  ?a  ?e  marriedTo  ?b   ,?a  mother  ?b,0.011235955,0.101694915,0.4,6,59,15,?a
?a  mother  ?f  ?b  name  ?f   ,?a  mother  ?b,0.224719101,0.975609756,0.975609756,120,123,123,?a
?a  parent  ?f  ?f  spouse  ?b   ,?a  mother  ?b,0.925093633,0.395833333,0.409279205,494,1248,1207,?a
?a  parent  ?f  ?b  spouse  ?f   ,?a  mother  ?b,0.926966292,0.396952686,0.410447761,495,1247,1206,?a
?f  name  ?b  ?a  parent  ?f   ,?a  mother  ?b,0.224719101,0.162601626,0.186915888,120,738,642,?a
?f  mother  ?b  ?a  name  ?f   ,?a  mother  ?b,0.144194757,0.974683544,0.974683544,77,79,79,?a
?a  mother  ?f  ?f  name  ?b   ,?a  mother  ?b,0.224719101,0.452830189,0.452830189,120,265,265,?a
?a  predecessor  ?e  ?e  spouse  ?b   ,?a  mother  ?b,0.269662921,0.298755187,0.452830189,144,482,318,?a
?e  spouse  ?b  ?e  successor  ?a   ,?a  mother  ?b,0.269662921,0.298755187,0.452830189,144,482,318,?a
?a  name  ?f  ?f  parent  ?b   ,?a  mother  ?b,0.144194757,0.386934673,0.487341772,77,199,158,?a
?a  father  ?f  ?f  spouse  ?b   ,?a  mother  ?b,0.921348315,0.726735598,0.755760369,492,677,651,?a
?e  mother  ?b  ?e  name  ?a   ,?a  mother  ?b,0.144194757,0.170731707,0.974683544,77,451,79,?a
?e  name  ?a  ?e  parent  ?b   ,?a  mother  ?b,0.144194757,0.072097378,0.487341772,77,1068,158,?a
?b  marriedTo  ?f  ?a  parent  ?f   ,?a  predecessor  ?b,0.010615711,0.25,0.833333333,5,20,6,?b
?e  child  ?a  ?e  name  ?b   ,?a  mother  ?b,0.15917603,0.055087492,0.199530516,85,1543,426,?a
?e  child  ?a  ?e  spouse  ?b   ,?a  mother  ?b,0.509363296,0.114285714,0.393632417,272,2380,691,?a
?a  name  ?f  ?b  successor  ?f   ,?a  predecessor  ?b,0.042462845,0.833333333,0.833333333,20,24,24,?b
?a  parent  ?f  ?b  predecessor  ?f   ,?a  predecessor  ?b,0.08492569,0.084566596,0.106951872,40,473,374,?b
?a  mother  ?f  ?b  predecessor  ?f   ,?a  predecessor  ?b,0.012738854,0.098360656,0.12,6,61,50,?b
?a  father  ?f  ?b  predecessor  ?f   ,?a  predecessor  ?b,0.072186837,0.08056872,0.101492537,34,422,335,?b
?b  spouse  ?f  ?f  successor  ?a   ,?a  predecessor  ?b,0.055201699,0.053941909,0.234234234,26,482,111,?b
?a  predecessor  ?f  ?b  spouse  ?f   ,?a  predecessor  ?b,0.055201699,0.053941909,0.234234234,26,482,111,?b
?a  father  ?f  ?b  spouse  ?f   ,?a  predecessor  ?b,0.038216561,0.026587888,0.268656716,18,677,67,?b
?a  mother  ?f  ?b  spouse  ?f   ,?a  predecessor  ?b,0.305732484,0.258527828,0.458598726,144,557,314,?b
?b  name  ?f  ?f  successor  ?a   ,?a  predecessor  ?b,0.044585987,0.807692308,0.807692308,21,26,26,?b
?b  name  ?f  ?a  predecessor  ?f   ,?a  predecessor  ?b,0.044585987,0.807692308,0.807692308,21,26,26,?b
?f  child  ?a  ?b  spouse  ?f   ,?a  predecessor  ?b,0.237791932,0.047058824,0.153635117,112,2380,729,?b
?a  father  ?f  ?b  name  ?f   ,?a  predecessor  ?b,0.012738854,0.214285714,0.461538462,6,28,13,?b
?b  name  ?f  ?a  parent  ?f   ,?a  predecessor  ?b,0.014861996,0.046357616,0.368421053,7,151,19,?b
?a  parent  ?f  ?b  spouse  ?f   ,?a  predecessor  ?b,0.354564756,0.133921411,0.432642487,167,1247,386,?b
?f  name  ?b  ?a  predecessor  ?f   ,?a  predecessor  ?b,0.044585987,0.071428571,0.954545455,21,294,22,?b
?f  child  ?a  ?b  name  ?f   ,?a  predecessor  ?b,0.016985138,0.025157233,0.137931034,8,318,58,?b
?a  predecessor  ?f  ?f  spouse  ?b   ,?a  predecessor  ?b,0.055201699,0.053941909,0.234234234,26,482,111,?b
?f  mother  ?b  ?a  successor  ?f   ,?a  predecessor  ?b,0.012738854,0.019047619,0.12,6,315,50,?b
?f  father  ?b  ?a  successor  ?f   ,?a  predecessor  ?b,0.072186837,0.098265896,0.114864865,34,346,296,?b
?f  parent  ?b  ?a  successor  ?f   ,?a  predecessor  ?b,0.089171975,0.061674009,0.117647059,42,681,357,?b
?b  child  ?f  ?a  successor  ?f   ,?a  predecessor  ?b,0.08492569,0.080645161,0.1179941,40,496,339,?b
?a  father  ?f  ?f  successor  ?b   ,?a  predecessor  ?b,0.072186837,0.08056872,0.101492537,34,422,335,?b
?f  marriedTo  ?b  ?a  parent  ?f   ,?a  predecessor  ?b,0.010615711,0.263157895,0.833333333,5,19,6,?b
?a  father  ?f  ?f  spouse  ?b   ,?a  predecessor  ?b,0.038216561,0.026587888,0.268656716,18,677,67,?b
?a  father  ?f  ?f  name  ?b   ,?a  predecessor  ?b,0.012738854,0.012875536,0.5,6,466,12,?b
?b  child  ?f  ?f  predecessor  ?a   ,?a  predecessor  ?b,0.08492569,0.080645161,0.1179941,40,496,339,?b
?a  parent  ?f  ?f  successor  ?b   ,?a  predecessor  ?b,0.08492569,0.084566596,0.106951872,40,473,374,?b
?f  name  ?b  ?a  parent  ?f   ,?a  predecessor  ?b,0.014861996,0.009485095,0.388888889,7,738,18,?b
?f  father  ?b  ?a  name  ?f   ,?a  predecessor  ?b,0.01910828,0.082568807,0.230769231,9,109,39,?b
?a  name  ?f  ?f  predecessor  ?b   ,?a  predecessor  ?b,0.042462845,0.833333333,0.833333333,20,24,24,?b
?a  mother  ?f  ?f  spouse  ?b   ,?a  predecessor  ?b,0.305732484,0.258064516,0.458598726,144,558,314,?b
?a  name  ?f  ?f  parent  ?b   ,?a  predecessor  ?b,0.01910828,0.045226131,0.204545455,9,199,44,?b
?a  mother  ?f  ?f  successor  ?b   ,?a  predecessor  ?b,0.012738854,0.098360656,0.12,6,61,50,?b
?a  parent  ?f  ?f  spouse  ?b   ,?a  predecessor  ?b,0.354564756,0.133814103,0.432642487,167,1248,386,?b
?e  father  ?b  ?e  predecessor  ?a   ,?a  predecessor  ?b,0.072186837,0.098265896,0.114864865,34,346,296,?b
?e  spouse  ?b  ?e  successor  ?a   ,?a  predecessor  ?b,0.055201699,0.053941909,0.234234234,26,482,111,?b
?b  child  ?a  ?a  predecessor  ?b   ,?a  father  ?b,0.199088146,0.63902439,0.929078014,131,205,141,?a
?b  child  ?a  ?b  successor  ?a   ,?a  father  ?b,0.199088146,0.63902439,0.929078014,131,205,141,?a
?e  name  ?b  ?e  successor  ?a   ,?a  predecessor  ?b,0.044585987,0.071428571,0.954545455,21,294,22,?b
?a  parent  ?b  ?b  successor  ?a   ,?a  father  ?b,0.258358663,0.871794872,0.894736842,170,195,190,?a
?e  parent  ?b  ?e  predecessor  ?a   ,?a  predecessor  ?b,0.089171975,0.061674009,0.117647059,42,681,357,?b
?e  mother  ?b  ?e  predecessor  ?a   ,?a  predecessor  ?b,0.012738854,0.019047619,0.12,6,315,50,?b
?e  child  ?a  ?e  name  ?b   ,?a  predecessor  ?b,0.016985138,0.005184705,0.133333333,8,1543,60,?b
?b  marriedTo  ?f  ?a  parent  ?f   ,?a  father  ?b,0.010638298,0.35,0.35,7,20,20,?a
?b  marriedTo  ?f  ?a  mother  ?f   ,?a  father  ?b,0.010638298,0.636363636,0.636363636,7,11,11,?a
?a  parent  ?b  ?a  predecessor  ?b   ,?a  father  ?b,0.258358663,0.871794872,0.894736842,170,195,190,?a
?e  father  ?a  ?e  mother  ?b   ,?a  predecessor  ?b,0.010615711,0.011682243,0.15625,5,428,32,?b
?b  child  ?a  ?a  parent  ?b   ,?a  father  ?b,0.458966565,0.544144144,0.550091075,302,555,549,?a
?e  child  ?a  ?e  spouse  ?b   ,?a  predecessor  ?b,0.237791932,0.047058824,0.153635117,112,2380,729,?b
?f  name  ?a  ?b  successor  ?f   ,?a  father  ?b,0.013677812,0.028938907,0.45,9,311,20,?a
?a  name  ?f  ?b  successor  ?f   ,?a  father  ?b,0.013677812,0.375,0.391304348,9,24,23,?a
?a  mother  ?f  ?b  predecessor  ?f   ,?a  father  ?b,0.018237082,0.196721311,0.196721311,12,61,61,?a
?f  successor  ?a  ?b  successor  ?f   ,?a  father  ?b,0.051671733,0.066276803,0.100591716,34,513,338,?a
?a  father  ?f  ?b  name  ?f   ,?a  father  ?b,0.039513678,0.928571429,0.928571429,26,28,28,?a
?a  predecessor  ?f  ?b  successor  ?f   ,?a  father  ?b,0.051671733,0.066276803,0.100591716,34,513,338,?a
?b  child  ?f  ?f  name  ?a   ,?a  father  ?b,0.047112462,0.066954644,0.413333333,31,463,75,?a
?b  name  ?f  ?a  parent  ?f   ,?a  father  ?b,0.039513678,0.17218543,0.174496644,26,151,149,?a
?b  child  ?f  ?a  name  ?f   ,?a  father  ?b,0.047112462,0.369047619,0.37804878,31,84,82,?a
?f  child  ?a  ?b  name  ?f   ,?a  father  ?b,0.015197568,0.031446541,0.102040816,10,318,98,?a
?a  parent  ?f  ?f  spouse  ?b   ,?a  father  ?b,0.756838906,0.399038462,0.403238866,498,1248,1235,?a
?a  parent  ?f  ?b  spouse  ?f   ,?a  father  ?b,0.755319149,0.398556536,0.402755267,497,1247,1234,?a
?f  predecessor  ?b  ?a  predecessor  ?f   ,?a  father  ?b,0.051671733,0.066276803,0.100591716,34,513,338,?a
?e  father  ?b  ?e  name  ?a   ,?a  father  ?b,0.162613982,0.18641115,0.981651376,107,574,109,?a
?a  name  ?e  ?e  parent  ?b   ,?a  father  ?b,0.162613982,0.537688442,0.560209424,107,199,191,?a
?e  father  ?b  ?a  name  ?e   ,?a  father  ?b,0.162613982,0.981651376,0.981651376,107,109,109,?a
?a  mother  ?f  ?f  successor  ?b   ,?a  father  ?b,0.018237082,0.196721311,0.196721311,12,61,61,?a
?e  name  ?a  ?e  parent  ?b   ,?a  father  ?b,0.162613982,0.100187266,0.560209424,107,1068,191,?a
?a  name  ?e  ?e  predecessor  ?b   ,?a  father  ?b,0.013677812,0.375,0.391304348,9,24,23,?a
?e  name  ?a  ?e  predecessor  ?b   ,?a  father  ?b,0.013677812,0.028938907,0.45,9,311,20,?a
?e  predecessor  ?b  ?e  successor  ?a   ,?a  father  ?b,0.051671733,0.066276803,0.100591716,34,513,338,?a
?a  mother  ?f  ?b  spouse  ?f   ,?a  father  ?b,0.747720365,0.883303411,0.888086643,492,557,554,?a
?a  mother  ?e  ?e  spouse  ?b   ,?a  father  ?b,0.749240122,0.883512545,0.888288288,493,558,555,?a
?f  child  ?a  ?b  spouse  ?f   ,?a  father  ?b,0.372340426,0.102941176,0.349500713,245,2380,701,?a
?e  child  ?a  ?e  spouse  ?b   ,?a  father  ?b,0.372340426,0.102941176,0.349500713,245,2380,701,?a
?f  gender  ?b  ?a  successor  ?f   ,?a  gender  ?b,0.197330791,0.616071429,0.851851852,207,336,243,?a
?f  gender  ?b  ?a  predecessor  ?f   ,?a  gender  ?b,0.19828408,0.613569322,0.852459016,208,339,244,?a
?f  gender  ?b  ?a  mother  ?f   ,?a  gender  ?b,0.216396568,0.425093633,0.425891182,227,534,533,?a
?f  gender  ?b  ?a  name  ?f   ,?a  gender  ?b,0.119161106,1,1,125,125,125,?a
?e  gender  ?b  ?e  predecessor  ?a   ,?a  gender  ?b,0.197330791,0.616071429,0.851851852,207,336,243,?a
?a  predecessor  ?b  ?b  spouse  ?a   ,?a  spouse  ?b,0.010416667,1,1,12,12,12,?a
?b  predecessor  ?a  ?b  spouse  ?a   ,?a  spouse  ?b,0.010416667,1,1,12,12,12,?a
?e  gender  ?b  ?e  successor  ?a   ,?a  gender  ?b,0.19828408,0.613569322,0.852459016,208,339,244,?a
?b  spouse  ?a  ?b  successor  ?a   ,?a  spouse  ?b,0.010416667,1,1,12,12,12,?a
?f  gender  ?b  ?a  parent  ?f   ,?a  gender  ?b,0.598665396,0.523769808,0.524644946,628,1199,1197,?a
?b  spouse  ?a  ?a  successor  ?b   ,?a  spouse  ?b,0.010416667,1,1,12,12,12,?a
?a  father  ?f  ?f  gender  ?b   ,?a  gender  ?b,0.379408961,0.604863222,0.605783866,398,658,657,?a
?e  gender  ?b  ?e  mother  ?a   ,?a  gender  ?b,0.195424214,0.427083333,0.427083333,205,480,480,?a
?e  father  ?a  ?e  gender  ?b   ,?a  gender  ?b,0.345090562,0.60738255,0.60738255,362,596,596,?a
?e  gender  ?b  ?e  name  ?a   ,?a  gender  ?b,0.119161106,0.224820144,1,125,556,125,?a
?a  child  ?f  ?f  gender  ?b   ,?a  gender  ?b,0.311725453,0.644970414,0.644970414,327,507,507,?a
?f  name  ?a  ?b  spouse  ?f   ,?a  spouse  ?b,0.114583333,0.195555556,0.956521739,132,675,138,?a
?a  name  ?f  ?b  spouse  ?f   ,?a  spouse  ?b,0.114583333,0.96350365,0.96350365,132,137,137,?a
?f  mother  ?a  ?b  successor  ?f   ,?a  spouse  ?b,0.122395833,0.447619048,0.474747475,141,315,297,?a
?e  gender  ?b  ?e  parent  ?a   ,?a  gender  ?b,0.541468065,0.507596068,0.525925926,568,1119,1080,?a
?f  parent  ?a  ?b  successor  ?f   ,?a  spouse  ?b,0.142361111,0.24082232,0.265372168,164,681,618,?a
?b  name  ?f  ?f  spouse  ?a   ,?a  spouse  ?b,0.114583333,0.96350365,0.96350365,132,137,137,?a
?b  name  ?f  ?a  spouse  ?f   ,?a  spouse  ?b,0.114583333,0.96350365,0.96350365,132,137,137,?a
?e  child  ?a  ?e  gender  ?b   ,?a  gender  ?b,0.381315539,0.211304807,0.625,400,1893,640,?a
?b  child  ?f  ?f  predecessor  ?a   ,?a  spouse  ?b,0.088541667,0.205645161,0.267716535,102,496,381,?a
?b  child  ?f  ?f  mother  ?a   ,?a  spouse  ?b,0.173611111,0.522193211,0.534759358,200,383,374,?a
?b  child  ?f  ?f  father  ?a   ,?a  spouse  ?b,0.152777778,0.44556962,0.474393531,176,395,371,?a
?a  child  ?f  ?b  successor  ?f   ,?a  spouse  ?b,0.088541667,0.205645161,0.216101695,102,496,472,?a
?b  child  ?f  ?a  successor  ?f   ,?a  spouse  ?b,0.088541667,0.205645161,0.267716535,102,496,381,?a
?a  child  ?f  ?b  child  ?f   ,?a  spouse  ?b,0.201388889,0.347826087,0.365354331,232,667,635,?a
?f  parent  ?b  ?a  successor  ?f   ,?a  spouse  ?b,0.142361111,0.24082232,0.354211663,164,681,463,?a
?f  mother  ?b  ?a  successor  ?f   ,?a  spouse  ?b,0.122395833,0.447619048,0.632286996,141,315,223,?a
?f  name  ?b  ?a  spouse  ?f   ,?a  spouse  ?b,0.114583333,0.195555556,0.195555556,132,675,675,?a
?b  child  ?f  ?f  parent  ?a   ,?a  spouse  ?b,0.335069444,0.488607595,0.50990753,386,790,757,?a
?e  parent  ?b  ?e  predecessor  ?a   ,?a  spouse  ?b,0.142361111,0.24082232,0.354211663,164,681,463,?a
?a  name  ?e  ?e  spouse  ?b   ,?a  spouse  ?b,0.114583333,0.96350365,0.96350365,132,137,137,?a
?e  mother  ?a  ?e  parent  ?b   ,?a  spouse  ?b,0.345486111,0.455899198,0.495641345,398,873,803,?a
