Body,Head,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable
?c  <mother>  ?a  ?c  <parent>  ?a   ,"?a  <gender>  ""female""@en",0.414680648,1,1,435,435,435,?a
?c  <hasSpouse>  <No>  ?c  <mother>  ?a   ,"?a  <gender>  ""female""@en",0.026692088,1,1,28,28,28,?a
?c  <hasSpouse>  <Yes>  ?c  <mother>  ?a   ,"?a  <gender>  ""female""@en",0.397521449,1,1,417,417,417,?a
"?c  <gender>  ""male""@en  ?c  <mother>  ?a   ","?a  <gender>  ""female""@en",0.262154433,1,1,275,275,275,?a
"?d  <gender>  ""female""@en  ?a  <spouse>  ?d   ",?a  <hasSpouse>  <Yes>,0.201627486,1,1,446,446,446,?a
"?d  <gender>  ""male""@en  ?a  <spouse>  ?d   ",?a  <hasSpouse>  <Yes>,0.237793852,1,1,526,526,526,?a
?a  <spouse>  ?d  ?d  <type>  <Person>   ,?a  <hasSpouse>  <Yes>,0.443037975,1,1,980,980,980,?a
?d  <spouse>  ?a  ?a  <spouse>  ?d   ,?a  <hasSpouse>  <Yes>,0.442133816,1,1,978,978,978,?a
"?c  <gender>  ""female""@en  ?c  <spouse>  ?a   ",?a  <hasSpouse>  <Yes>,0.202079566,1,1,447,447,447,?a
?c  <spouse>  ?a  ?c  <type>  <Person>   ,?a  <hasSpouse>  <Yes>,0.443037975,1,1,980,980,980,?a
"?c  <gender>  ""male""@en  ?c  <spouse>  ?a   ",?a  <hasSpouse>  <Yes>,0.237793852,1,1,526,526,526,?a
?a  <father>  ?d  ?a  <predecessor>  ?d   ,?a  <type>  <Person>,0.076507651,1,1,170,170,170,?a
"?a  <father>  ?d  ?d  <gender>  ""male""@en   ",?a  <type>  <Person>,0.296129613,1,1,658,658,658,?a
?d  <child>  ?a  ?a  <father>  ?d   ,?a  <type>  <Person>,0.135913591,1,1,302,302,302,?a
?a  <father>  ?d  ?a  <parent>  ?d   ,?a  <type>  <Person>,0.296129613,1,1,658,658,658,?a
?a  <father>  ?d  ?d  <hasSpouse>  <No>   ,?a  <type>  <Person>,0.062556256,1,1,139,139,139,?a
?a  <father>  ?d  ?d  <hasSpouse>  <Yes>   ,?a  <type>  <Person>,0.233573357,1,1,519,519,519,?a
?a  <father>  ?d  ?d  <successor>  ?a   ,?a  <type>  <Person>,0.076507651,1,1,170,170,170,?a
?d  <father>  ?a  ?a  <successor>  ?d   ,?a  <type>  <Person>,0.075157516,1,1,167,167,167,?a
"?d  <gender>  ""female""@en  ?a  <successor>  ?d   ",?a  <type>  <Person>,0.017551755,1,1,39,39,39,?a
"?d  <gender>  ""male""@en  ?a  <successor>  ?d   ",?a  <type>  <Person>,0.133663366,1,1,297,297,297,?a
?a  <parent>  ?d  ?a  <predecessor>  ?d   ,?a  <type>  <Person>,0.082358236,1,1,183,183,183,?a
?d  <child>  ?a  ?a  <predecessor>  ?d   ,?a  <type>  <Person>,0.090009001,1,1,200,200,200,?a
?a  <predecessor>  ?d  ?d  <successor>  ?a   ,?a  <type>  <Person>,0.168316832,1,1,374,374,374,?a
?d  <hasSpouse>  <Yes>  ?a  <predecessor>  ?d   ,?a  <type>  <Person>,0.132763276,1,1,295,295,295,?a
?d  <hasSpouse>  <No>  ?a  <predecessor>  ?d   ,?a  <type>  <Person>,0.049954995,1,1,111,111,111,?a
"?d  <gender>  ""male""@en  ?a  <predecessor>  ?d   ",?a  <type>  <Person>,0.133213321,1,1,296,296,296,?a
?d  <hasSpouse>  <No>  ?a  <successor>  ?d   ,?a  <type>  <Person>,0.052205221,1,1,116,116,116,?a
"?d  <gender>  ""female""@en  ?a  <mother>  ?d   ",?a  <type>  <Person>,0.240324032,1,1,534,534,534,?a
?d  <child>  ?a  ?a  <mother>  ?d   ,?a  <type>  <Person>,0.111611161,1,1,248,248,248,?a
?a  <mother>  ?d  ?a  <parent>  ?d   ,?a  <type>  <Person>,0.240324032,1,1,534,534,534,?a
?a  <child>  ?d  ?a  <successor>  ?d   ,?a  <type>  <Person>,0.085058506,1,1,189,189,189,?a
?d  <hasSpouse>  <No>  ?a  <mother>  ?d   ,?a  <type>  <Person>,0.01260126,1,1,28,28,28,?a
?d  <hasSpouse>  <Yes>  ?a  <mother>  ?d   ,?a  <type>  <Person>,0.227722772,1,1,506,506,506,?a
"?d  <gender>  ""male""@en  ?a  <spouse>  ?d   ",?a  <type>  <Person>,0.236723672,1,1,526,526,526,?a
"?d  <gender>  ""female""@en  ?a  <spouse>  ?d   ",?a  <type>  <Person>,0.200720072,1,1,446,446,446,?a
?d  <hasSpouse>  <Yes>  ?a  <spouse>  ?d   ,?a  <type>  <Person>,0.441044104,1,1,980,980,980,?a
?d  <parent>  ?a  ?a  <successor>  ?d   ,?a  <type>  <Person>,0.085958596,1,1,191,191,191,?a
?d  <predecessor>  ?a  ?a  <successor>  ?d   ,?a  <type>  <Person>,0.179117912,1,1,398,398,398,?a
?a  <child>  ?d  ?d  <mother>  ?a   ,?a  <type>  <Person>,0.079657966,1,1,177,177,177,?a
?d  <hasSpouse>  <Yes>  ?a  <successor>  ?d   ,?a  <type>  <Person>,0.136363636,1,1,303,303,303,?a
"?a  <child>  ?d  ?d  <gender>  ""female""@en   ",?a  <type>  <Person>,0.103960396,1,1,231,231,231,?a
"?d  <gender>  ""female""@en  ?a  <predecessor>  ?d   ",?a  <type>  <Person>,0.019351935,1,1,43,43,43,?a
?a  <child>  ?d  ?d  <predecessor>  ?a   ,?a  <type>  <Person>,0.085058506,1,1,189,189,189,?a
?a  <child>  ?d  ?d  <father>  ?a   ,?a  <type>  <Person>,0.097209721,1,1,216,216,216,?a
"?a  <child>  ?d  ?d  <gender>  ""male""@en   ",?a  <type>  <Person>,0.124212421,1,1,276,276,276,?a
?a  <child>  ?d  ?d  <hasSpouse>  <Yes>   ,?a  <type>  <Person>,0.175967597,1,1,391,391,391,?a
?a  <child>  ?d  ?d  <parent>  ?a   ,?a  <type>  <Person>,0.177767777,1,1,395,395,395,?a
?d  <spouse>  ?a  ?a  <spouse>  ?d   ,?a  <type>  <Person>,0.440144014,1,1,978,978,978,?a
"?d  <gender>  ""female""@en  ?a  <parent>  ?d   ",?a  <type>  <Person>,0.241674167,1,1,537,537,537,?a
"?d  <gender>  ""male""@en  ?a  <parent>  ?d   ",?a  <type>  <Person>,0.297929793,1,1,662,662,662,?a
?d  <hasSpouse>  <No>  ?a  <parent>  ?d   ,?a  <type>  <Person>,0.071557156,1,1,159,159,159,?a
?c  <father>  ?a  ?c  <predecessor>  ?a   ,?a  <type>  <Person>,0.075157516,1,1,167,167,167,?a
?c  <hasSpouse>  <No>  ?c  <predecessor>  ?a   ,?a  <type>  <Person>,0.052205221,1,1,116,116,116,?a
?a  <parent>  ?d  ?d  <successor>  ?a   ,?a  <type>  <Person>,0.082358236,1,1,183,183,183,?a
"?c  <gender>  ""male""@en  ?c  <predecessor>  ?a   ",?a  <type>  <Person>,0.133663366,1,1,297,297,297,?a
"?c  <gender>  ""female""@en  ?c  <predecessor>  ?a   ",?a  <type>  <Person>,0.017551755,1,1,39,39,39,?a
"?c  <father>  ?a  ?c  <gender>  ""female""@en   ",?a  <type>  <Person>,0.105310531,1,1,234,234,234,?a
?c  <parent>  ?a  ?c  <predecessor>  ?a   ,?a  <type>  <Person>,0.085958596,1,1,191,191,191,?a
?c  <father>  ?a  ?c  <hasSpouse>  <No>   ,?a  <type>  <Person>,0.031953195,1,1,71,71,71,?a
?c  <father>  ?a  ?c  <hasSpouse>  <Yes>   ,?a  <type>  <Person>,0.217371737,1,1,483,483,483,?a
?c  <father>  ?a  ?c  <parent>  ?a   ,?a  <type>  <Person>,0.243474347,1,1,541,541,541,?a
?c  <hasSpouse>  <Yes>  ?c  <mother>  ?a   ,?a  <type>  <Person>,0.187668767,1,1,417,417,417,?a
?c  <mother>  ?a  ?c  <parent>  ?a   ,?a  <type>  <Person>,0.195769577,1,1,435,435,435,?a
"?c  <gender>  ""female""@en  ?c  <mother>  ?a   ",?a  <type>  <Person>,0.092259226,1,1,205,205,205,?a
?a  <child>  ?d  ?d  <hasSpouse>  <No>   ,?a  <type>  <Person>,0.166066607,1,1,369,369,369,?a
"?c  <gender>  ""male""@en  ?c  <mother>  ?a   ",?a  <type>  <Person>,0.123762376,1,1,275,275,275,?a
"?c  <gender>  ""female""@en  ?c  <parent>  ?a   ",?a  <type>  <Person>,0.206570657,1,1,459,459,459,?a
"?c  <gender>  ""male""@en  ?c  <parent>  ?a   ",?a  <type>  <Person>,0.297029703,1,1,660,660,660,?a
?c  <hasSpouse>  <No>  ?c  <parent>  ?a   ,?a  <type>  <Person>,0.04860486,1,1,108,108,108,?a
?c  <hasSpouse>  <Yes>  ?c  <parent>  ?a   ,?a  <type>  <Person>,0.420342034,1,1,934,934,934,?a
?d  <child>  ?a  ?a  <parent>  ?d   ,?a  <type>  <Person>,0.179567957,1,1,399,399,399,?a
?d  <hasSpouse>  <Yes>  ?a  <parent>  ?d   ,?a  <type>  <Person>,0.238073807,1,1,529,529,529,?a
?c  <hasSpouse>  <No>  ?c  <successor>  ?a   ,?a  <type>  <Person>,0.049954995,1,1,111,111,111,?a
"?c  <gender>  ""male""@en  ?c  <successor>  ?a   ",?a  <type>  <Person>,0.133213321,1,1,296,296,296,?a
?c  <hasSpouse>  <Yes>  ?c  <predecessor>  ?a   ,?a  <type>  <Person>,0.136363636,1,1,303,303,303,?a
"?c  <father>  ?a  ?c  <gender>  ""male""@en   ",?a  <type>  <Person>,0.162916292,1,1,362,362,362,?a
?c  <hasSpouse>  <No>  ?c  <mother>  ?a   ,?a  <type>  <Person>,0.01260126,1,1,28,28,28,?a
?c  <hasSpouse>  <Yes>  ?c  <successor>  ?a   ,?a  <type>  <Person>,0.132763276,1,1,295,295,295,?a
?c  <child>  ?a  ?c  <successor>  ?a   ,?a  <type>  <Person>,0.090009001,1,1,200,200,200,?a
"?c  <gender>  ""female""@en  ?c  <successor>  ?a   ",?a  <type>  <Person>,0.019351935,1,1,43,43,43,?a
"?b  <child>  ?a  ?b  <name>  ""John II""@en   ",?a  <father>  ?b,0.012158055,0.4,1,8,20,8,?a
"?b  <name>  ""John II""@en  ?a  <parent>  ?b   ",?a  <father>  ?b,0.013677812,0.9,1,9,10,9,?a
"?b  <name>  ""Ferdinand I""@en  ?a  <parent>  ?b   ",?a  <father>  ?b,0.012158055,1,1,8,8,8,?a
?b  <parent>  <Philip_III_of_France>  ?a  <parent>  ?b   ,?a  <father>  ?b,0.012158055,0.888888889,1,8,9,8,?a
"?b  <name>  ""Louis""@en  ?a  <parent>  ?b   ",?a  <father>  ?b,0.019756839,1,1,13,13,13,?a
"?b  <child>  ?a  ?b  <name>  ""Henry II""@en   ",?a  <father>  ?b,0.012158055,0.4,1,8,20,8,?a
"?b  <child>  ?a  ?b  <name>  ""Louis""@en   ",?a  <father>  ?b,0.019756839,0.52,1,13,25,13,?a
"?b  <child>  ?a  ?b  <name>  ""Ferdinand I""@en   ",?a  <father>  ?b,0.012158055,0.235294118,1,8,34,8,?a
"?b  <name>  ""Henry II""@en  ?a  <parent>  ?b   ",?a  <father>  ?b,0.016717325,1,1,11,11,11,?a
"?b  <name>  ""Robert II""@en  ?a  <parent>  ?b   ",?a  <father>  ?b,0.012158055,1,1,8,8,8,?a
"?b  <child>  ?a  ?b  <name>  ""Robert II""@en   ",?a  <father>  ?b,0.012158055,0.347826087,1,8,23,8,?a
"?c  <gender>  ""male""@en  ?c  <spouse>  ?a   ",?a  <type>  <Person>,0.236723672,1,1,526,526,526,?a
?c  <hasSpouse>  <Yes>  ?c  <spouse>  ?a   ,?a  <type>  <Person>,0.441044104,1,1,980,980,980,?a
?b  <child>  ?a  ?b  <hasSpouse>  <No>   ,?a  <father>  ?b,0.02887538,0.365384615,1,19,52,19,?a
?c  <child>  ?a  ?c  <parent>  <Charles_III_of_Spain>   ,?a  <type>  <Person>,0.013051305,1,1,29,29,29,?a
?c  <child>  ?a  ?c  <parent>  <Francis_I_Holy_Roman_Emperor>   ,?a  <type>  <Person>,0.0180018,1,1,40,40,40,?a
?c  <child>  ?a  ?c  <parent>  <Maria_Amalia_of_Saxony>   ,?a  <type>  <Person>,0.013051305,1,1,29,29,29,?a
?c  <child>  ?a  ?c  <parent>  <Maria_Theresa>   ,?a  <type>  <Person>,0.0180018,1,1,40,40,40,?a
?c  <child>  ?a  ?c  <father>  <Charles_III_of_Spain>   ,?a  <type>  <Person>,0.013051305,1,1,29,29,29,?a
?c  <child>  ?a  ?c  <father>  <Francis_I_Holy_Roman_Emperor>   ,?a  <type>  <Person>,0.0180018,1,1,40,40,40,?a
?c  <child>  ?a  ?c  <mother>  <Maria_Theresa>   ,?a  <type>  <Person>,0.011251125,1,1,25,25,25,?a
?c  <child>  ?a  ?c  <mother>  <Maria_Amalia_of_Saxony>   ,?a  <type>  <Person>,0.013051305,1,1,29,29,29,?a
"?c  <gender>  ""female""@en  ?c  <spouse>  ?a   ",?a  <type>  <Person>,0.201170117,1,1,447,447,447,?a
"?c  <child>  ?a  ?c  <name>  ""Ferdinand I""@en   ",?a  <type>  <Person>,0.01530153,1,1,34,34,34,?a
"?c  <child>  ?a  ?c  <name>  ""Francis I""@en   ",?a  <type>  <Person>,0.01080108,1,1,24,24,24,?a
"?c  <child>  ?a  ?c  <name>  ""Louis""@en   ",?a  <type>  <Person>,0.011251125,1,1,25,25,25,?a
"?c  <child>  ?a  ?c  <name>  ""Robert II""@en   ",?a  <type>  <Person>,0.010351035,1,1,23,23,23,?a
<Philip_III_of_France>  <child>  ?b  ?a  <parent>  ?b   ,?a  <father>  ?b,0.012158055,0.888888889,1,8,9,8,?a
"?c  <child>  ?a  ?c  <gender>  ""male""@en   ",?a  <type>  <Person>,0.45769577,1,1,1017,1017,1017,?a
?c  <child>  ?a  ?c  <hasSpouse>  <No>   ,?a  <type>  <Person>,0.02340234,1,1,52,52,52,?a
?c  <child>  ?a  ?c  <hasSpouse>  <Yes>   ,?a  <type>  <Person>,0.611611161,1,1,1359,1359,1359,?a
"?c  <child>  ?a  ?c  <gender>  ""female""@en   ",?a  <type>  <Person>,0.394239424,1,1,876,876,876,?a
?a  <successor>  ?f  ?f  <type>  ?b   ,?a  <type>  ?b,0.179117912,1,1,398,398,398,?a
?a  <father>  ?f  ?f  <type>  ?b   ,?a  <type>  ?b,0.296129613,1,1,658,658,658,?a
?a  <spouse>  ?e  ?e  <type>  ?b   ,?a  <type>  ?b,0.441044104,1,1,980,980,980,?a
?a  <predecessor>  ?e  ?e  <type>  ?b   ,?a  <type>  ?b,0.168316832,1,1,374,374,374,?a
?e  <father>  ?a  ?e  <type>  ?b   ,?a  <type>  ?b,0.243474347,1,1,541,541,541,?a
?a  <child>  ?e  ?e  <type>  ?b   ,?a  <type>  ?b,0.192169217,1,1,427,427,427,?a
?a  <parent>  ?f  ?f  <type>  ?b   ,?a  <type>  ?b,0.306930693,1,1,682,682,682,?a
?e  <successor>  ?a  ?e  <type>  ?b   ,?a  <type>  ?b,0.168316832,1,1,374,374,374,?a
?e  <parent>  ?a  ?e  <type>  ?b   ,?a  <type>  ?b,0.45769577,1,1,1017,1017,1017,?a
?e  <spouse>  ?a  ?e  <type>  ?b   ,?a  <type>  ?b,0.441044104,1,1,980,980,980,?a
?e  <mother>  ?a  ?e  <type>  ?b   ,?a  <type>  ?b,0.195769577,1,1,435,435,435,?a
?e  <child>  ?a  ?e  <type>  ?b   ,?a  <type>  ?b,0.635013501,1,1,1411,1411,1411,?a
"?b  <gender>  ""female""@en  ?a  <parent>  ?b   ",?a  <mother>  ?b,1,0.994413408,1,534,537,534,?a
?e  <predecessor>  ?a  ?e  <type>  ?b   ,?a  <type>  ?b,0.179117912,1,1,398,398,398,?a
?a  <mother>  ?f  ?f  <type>  ?b   ,?a  <type>  ?b,0.240324032,1,1,534,534,534,?a
?b  <spouse>  ?a  ?b  <successor>  ?a   ,?a  <spouse>  ?b,0.010416667,1,1,12,12,12,?a
?b  <spouse>  ?a  ?a  <successor>  ?b   ,?a  <spouse>  ?b,0.010416667,1,1,12,12,12,?a
"?a  <gender>  ""female""@en  ?b  <spouse>  ?a   ",?a  <spouse>  ?b,0.423611111,1,1,488,488,488,?a
?b  <predecessor>  ?a  ?b  <spouse>  ?a   ,?a  <spouse>  ?b,0.010416667,1,1,12,12,12,?a
?a  <predecessor>  ?b  ?b  <spouse>  ?a   ,?a  <spouse>  ?b,0.010416667,1,1,12,12,12,?a
"?b  <gender>  ""male""@en  ?b  <spouse>  ?a   ",?a  <spouse>  ?b,0.471354167,0.998161765,1,543,544,543,?a
?e  <hasSpouse>  ?b  ?e  <spouse>  ?a   ,?a  <hasSpouse>  ?b,0.443037975,1,1,980,980,980,?a
?e  <hasSpouse>  ?b  ?a  <spouse>  ?e   ,?a  <hasSpouse>  ?b,0.443037975,1,1,980,980,980,?a
?b  <father>  ?a  ?a  <hasSpouse>  <No>   ,?a  <child>  ?b,0.010015814,0.136690647,1,19,139,19,?b
?a  <hasSpouse>  <No>  ?b  <parent>  ?a   ,?a  <child>  ?b,0.010542963,0.100502513,1,20,199,20,?b
?b  <spouse>  ?a   ,?a  <spouse>  ?b,0.998263889,0.998263889,0.99913119,1150,1152,1151,?a
"?b  <gender>  ""male""@en  ?a  <parent>  ?b   ",?a  <father>  ?b,1,0.992458522,0.998482549,658,663,659,?a
"?c  <gender>  ""female""@en  ?c  <spouse>  ?a   ","?a  <gender>  ""male""@en",0.389895138,0.914988814,0.99513382,409,447,411,?a
"?d  <gender>  ""female""@en  ?a  <spouse>  ?d   ","?a  <gender>  ""male""@en",0.388941849,0.914798206,0.995121951,408,446,410,?a
?a  <child>  ?d  ?d  <mother>  ?a   ,?a  <hasSpouse>  <Yes>,0.079566004,0.994350282,0.994350282,176,177,177,?a
"?b  <child>  ?a  ?b  <gender>  ""male""@en   ",?a  <father>  ?b,0.458966565,0.296368989,0.993421053,302,1019,304,?a
?e  <father>  ?a  ?e  <mother>  ?b   ,?a  <spouse>  ?b,0.342013889,0.920560748,0.992443325,394,428,397,?a
"?b  <child>  ?a  ?b  <gender>  ""female""@en   ",?a  <mother>  ?b,0.464419476,0.282782212,0.992,248,877,250,?a
?e  <father>  ?b  ?e  <mother>  ?a   ,?a  <spouse>  ?b,0.342881944,0.922897196,0.989974937,395,428,399,?a
"?a  <child>  ?d  ?d  <gender>  ""female""@en   ",?a  <hasSpouse>  <Yes>,0.103074141,0.987012987,0.987012987,228,231,231,?a
"?d  <gender>  ""male""@en  ?a  <spouse>  ?d   ","?a  <gender>  ""female""@en",0.412774071,0.823193916,0.977426637,433,526,443,?a
"?c  <gender>  ""male""@en  ?c  <spouse>  ?a   ","?a  <gender>  ""female""@en",0.411820782,0.821292776,0.977375566,432,526,442,?a
?a  <child>  ?d  ?d  <hasSpouse>  <No>   ,?a  <hasSpouse>  <Yes>,0.161392405,0.967479675,0.967479675,357,369,369,?a
?d  <child>  ?a  ?a  <mother>  ?d   ,?a  <hasSpouse>  <Yes>,0.108047016,0.963709677,0.963709677,239,248,248,?a
?a  <mother>  ?f  ?f  <spouse>  ?b   ,?a  <parent>  ?b,0.400322841,0.888888889,0.957528958,496,558,518,?b
?a  <mother>  ?f  ?b  <spouse>  ?f   ,?a  <parent>  ?b,0.399515738,0.888689408,0.957446809,495,557,517,?b
?b  <father>  ?a  ?b  <hasSpouse>  <No>   ,?a  <child>  ?b,0.011070111,0.287671233,0.954545455,21,73,22,?b
?a  <child>  ?d  ?d  <type>  <Person>   ,?a  <hasSpouse>  <Yes>,0.183996383,0.953161593,0.953161593,407,427,427,?a
?a  <child>  ?d  ?d  <parent>  ?a   ,?a  <hasSpouse>  <Yes>,0.169981917,0.951898734,0.951898734,376,395,395,?a
"?c  <gender>  ""female""@en  ?c  <mother>  ?a   ",?a  <hasSpouse>  <Yes>,0.088155515,0.951219512,0.951219512,195,205,205,?a
?d  <child>  ?a  ?a  <parent>  ?d   ,?a  <hasSpouse>  <Yes>,0.170433996,0.944862155,0.944862155,377,399,399,?a
"?d  <gender>  ""female""@en  ?a  <parent>  ?d   ",?a  <hasSpouse>  <Yes>,0.22920434,0.944134078,0.944134078,507,537,537,?a
"?d  <gender>  ""female""@en  ?a  <mother>  ?d   ",?a  <hasSpouse>  <Yes>,0.227848101,0.943820225,0.943820225,504,534,534,?a
?a  <mother>  ?d  ?d  <type>  <Person>   ,?a  <hasSpouse>  <Yes>,0.227848101,0.943820225,0.943820225,504,534,534,?a
?a  <mother>  ?d  ?a  <parent>  ?d   ,?a  <hasSpouse>  <Yes>,0.227848101,0.943820225,0.943820225,504,534,534,?a
"?a  <child>  ?d  ?d  <gender>  ""male""@en   ",?a  <hasSpouse>  <Yes>,0.117088608,0.938405797,0.938405797,259,276,276,?a
?a  <child>  ?d  ?a  <successor>  ?d   ,?a  <hasSpouse>  <Yes>,0.080018083,0.936507937,0.936507937,177,189,189,?a
?a  <child>  ?d  ?d  <predecessor>  ?a   ,?a  <hasSpouse>  <Yes>,0.080018083,0.936507937,0.936507937,177,189,189,?a
"?a  <gender>  ""female""@en   ",?a  <hasSpouse>  <Yes>,0.199367089,0.936305732,0.936305732,441,471,471,?a
?b  <father>  ?a  ?a  <successor>  ?b   ,?a  <child>  ?b,0.069056405,0.770588235,0.935714286,131,170,140,?b
?b  <father>  ?a  ?b  <predecessor>  ?a   ,?a  <child>  ?b,0.069056405,0.770588235,0.935714286,131,170,140,?b
?c  <mother>  ?a  ?c  <type>  <Person>   ,?a  <hasSpouse>  <Yes>,0.183996383,0.935632184,0.935632184,407,435,435,?a
?c  <mother>  ?a  ?c  <parent>  ?a   ,?a  <hasSpouse>  <Yes>,0.183996383,0.935632184,0.935632184,407,435,435,?a
"?c  <gender>  ""male""@en  ?c  <mother>  ?a   ",?a  <hasSpouse>  <Yes>,0.116184448,0.934545455,0.934545455,257,275,275,?a
?d  <child>  ?a  ?a  <father>  ?d   ,?a  <hasSpouse>  <Yes>,0.127034358,0.930463576,0.930463576,281,302,302,?a
"?b  <father>  ?a  ?b  <gender>  ""male""@en   ",?a  <child>  ?b,0.1128097,0.537688442,0.930434783,214,398,230,?b
?d  <child>  ?a  ?a  <predecessor>  ?d   ,"?a  <gender>  ""male""@en",0.126787417,0.665,0.93006993,133,200,143,?a
?c  <child>  ?a  ?c  <successor>  ?a   ,"?a  <gender>  ""male""@en",0.126787417,0.665,0.93006993,133,200,143,?a
?b  <child>  ?a  ?b  <successor>  ?a   ,?a  <father>  ?b,0.199088146,0.63902439,0.929078014,131,205,141,?a
?b  <child>  ?a  ?a  <predecessor>  ?b   ,?a  <father>  ?b,0.199088146,0.63902439,0.929078014,131,205,141,?a
?d  <hasSpouse>  <No>  ?a  <predecessor>  ?d   ,"?a  <gender>  ""male""@en",0.092469018,0.873873874,0.923809524,97,111,105,?a
?c  <hasSpouse>  <No>  ?c  <successor>  ?a   ,"?a  <gender>  ""male""@en",0.092469018,0.873873874,0.923809524,97,111,105,?a
?a  <father>  ?d  ?a  <predecessor>  ?d   ,"?a  <gender>  ""male""@en",0.149666349,0.923529412,0.923529412,157,170,170,?a
?a  <father>  ?d  ?d  <successor>  ?a   ,"?a  <gender>  ""male""@en",0.149666349,0.923529412,0.923529412,157,170,170,?a
?a  <parent>  ?f  ?f  <spouse>  ?b   ,?a  <parent>  ?b,0.81275222,0.806891026,0.922161172,1007,1248,1092,?b
?a  <parent>  ?f  ?b  <spouse>  ?f   ,?a  <parent>  ?b,0.81275222,0.807538091,0.922161172,1007,1247,1092,?b
?a  <child>  ?d  ?d  <father>  ?a   ,?a  <hasSpouse>  <Yes>,0.089511754,0.916666667,0.916666667,198,216,216,?a
"?b  <gender>  ""female""@en  ?b  <mother>  ?a   ",?a  <child>  ?b,0.078545071,0.656387665,0.914110429,149,227,163,?b
?f  <hasSpouse>  ?b  ?a  <mother>  ?f   ,?a  <hasSpouse>  ?b,0.219710669,0.91011236,0.91011236,486,534,534,?a
"?b  <child>  ?a  ?a  <gender>  ""male""@en   ",?a  <parent>  ?b,0.253430186,0.907514451,0.907514451,314,346,346,?b
?a  <child>  ?d  ?a  <successor>  ?d   ,"?a  <gender>  ""male""@en",0.163012393,0.904761905,0.904761905,171,189,189,?a
?a  <child>  ?d  ?d  <predecessor>  ?a   ,"?a  <gender>  ""male""@en",0.163012393,0.904761905,0.904761905,171,189,189,?a
?a  <parent>  ?d  ?a  <predecessor>  ?d   ,?a  <hasSpouse>  <Yes>,0.074593128,0.901639344,0.901639344,165,183,183,?a
?a  <parent>  ?d  ?d  <successor>  ?a   ,?a  <hasSpouse>  <Yes>,0.074593128,0.901639344,0.901639344,165,183,183,?a
?a  <father>  ?d  ?a  <predecessor>  ?d   ,?a  <hasSpouse>  <Yes>,0.069168174,0.9,0.9,153,170,170,?a
?a  <father>  ?d  ?d  <successor>  ?a   ,?a  <hasSpouse>  <Yes>,0.069168174,0.9,0.9,153,170,170,?a
?b  <parent>  ?a  ?a  <successor>  ?b   ,?a  <child>  ?b,0.075382182,0.733333333,0.899371069,143,195,159,?b
?b  <parent>  ?a  ?b  <predecessor>  ?a   ,?a  <child>  ?b,0.075382182,0.733333333,0.899371069,143,195,159,?b
?e  <hasSpouse>  ?b  ?e  <mother>  ?a   ,?a  <hasSpouse>  ?b,0.180379747,0.896629213,0.896629213,399,445,445,?a
